lat,lon,university,fuel,cafe,parking,parking_entrance,fast_food,marketplace,restaurant,hospital,school,kindergarten,townhall - community_centre,police,place_of_worship,bank,atm
10.6948325,106.6114674,0,0,3,3,0,0,3,1,0,1,1,0,0,2,0,0
10.810003,106.58914,0,2,0,0,0,0,0,1,0,6,0,0,0,0,0,0
10.847588,106.744641,0,4,4,0,0,0,2,0,0,4,0,0,0,4,0,2
20.9894441,105.7298342,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0
10.7473555,106.666371,2,8,10,6,0,6,6,18,12,23,1,0,1,24,9,9
10.7488931,106.6476833,0,17,4,0,0,2,9,7,0,28,7,0,2,32,18,5
10.7517941,106.643572,0,13,1,0,0,3,8,8,0,32,5,0,2,26,14,6
10.807606,106.7014,3,10,8,0,0,3,2,5,4,10,0,0,2,7,6,8
21.1403764,105.8498499,0,1,0,1,0,0,1,0,1,4,5,0,1,1,4,1
10.741939,106.72374,0,7,6,4,0,1,1,2,2,7,1,0,1,0,2,1
10.8482539,106.7510908,0,4,7,0,0,1,3,3,0,10,1,0,0,7,2,6
10.7479761,106.6345824,0,9,7,2,0,3,6,6,2,23,2,0,2,16,4,7
21.1774594,105.831672,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0
21.0653645,105.8244356,0,0,35,2,0,2,2,52,1,3,5,0,2,7,1,11
10.844895,106.6828,1,3,1,0,0,0,1,1,1,4,0,0,0,3,2,8
21.115037,105.7848293,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,2
21.0480535,105.8096705,3,3,7,13,2,1,2,13,5,8,5,0,4,21,6,12
20.991234,105.839688,2,4,9,3,1,5,2,7,3,10,5,0,5,1,19,16
20.9697199,105.7984527,1,1,2,4,3,0,0,1,3,4,1,0,0,2,2,1
21.004792,105.811354,3,7,21,3,4,22,5,48,3,27,7,0,6,7,16,27
10.7461642,106.6491308,0,14,4,0,0,2,9,5,0,24,7,0,1,26,18,4
10.8540518,106.6771931,0,3,1,0,0,0,0,1,1,4,0,0,0,2,6,7
20.993159,105.817197,2,0,6,0,0,2,2,17,3,19,4,0,4,2,1,11
10.7505026,106.686576,1,5,18,2,0,6,2,16,4,18,5,0,1,14,5,5
21.0459878,105.8654332,0,0,15,0,0,0,1,18,1,5,2,0,1,7,6,12
20.9791962,105.8120445,1,1,4,1,2,0,3,5,1,6,3,0,1,4,0,0
10.7470793,106.7021232,3,5,6,7,0,0,4,12,2,12,1,0,1,8,5,8
10.7643954,106.6963952,3,3,147,12,0,26,8,261,5,25,7,0,13,43,69,43
21.0106575,105.8599784,1,8,17,8,1,4,1,29,7,21,12,0,5,2,13,55
10.75663,106.611808,0,5,2,0,0,2,2,4,0,4,2,0,0,2,4,5
21.017355,105.775199,0,1,8,6,4,1,3,5,1,12,2,0,2,1,3,7
10.798516,106.6626049,4,5,40,9,0,7,1,37,6,27,3,0,2,14,27,10
10.801987,106.68692,1,4,37,0,0,6,4,33,6,17,1,0,1,26,21,10
10.7995654,106.6970932,2,10,28,0,0,13,2,37,5,13,1,0,1,19,20,10
10.800291,106.666028,6,6,39,6,0,3,2,35,6,20,3,0,2,13,27,9
10.834767,106.668284,1,6,15,2,0,0,0,4,1,7,1,0,0,5,8,7
21.0213764,105.9686513,0,2,0,0,0,0,0,0,0,3,1,0,0,2,0,1
10.776438,106.663587,5,5,45,1,0,10,2,64,7,24,3,0,1,6,17,7
10.837263,106.73205,0,0,4,0,0,1,1,2,0,2,0,0,0,3,0,0
10.866236,106.627782,2,0,0,1,0,0,0,0,1,1,0,0,0,2,0,0
20.9640919,105.8603404,0,0,0,3,0,0,0,0,0,3,1,0,0,0,0,0
21.0797461,105.6854223,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
21.0340283,105.5413685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21.000894,105.80723,5,5,12,2,4,19,3,43,1,23,7,0,4,3,19,35
10.683036,106.700658,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
21.045772,105.840983,0,3,47,7,3,15,1,69,7,17,6,0,6,19,26,33
20.9179552,105.8663318,0,0,0,0,0,0,0,0,0,5,2,0,1,0,0,0
21.0127642,105.7830863,0,1,11,11,6,1,3,7,0,12,4,0,0,2,2,10
10.810419,106.612655,0,3,2,3,0,0,0,2,0,8,1,0,0,0,1,2
21.0052678,105.8414191,5,2,46,19,5,13,3,24,9,20,9,0,6,4,26,51
21.044081,105.810178,1,6,7,13,3,1,4,21,5,11,5,0,5,25,9,22
21.086841,105.80941,0,0,1,0,0,0,1,3,0,4,0,0,1,4,0,0
21.062787,105.807466,1,0,10,4,1,3,0,6,1,5,2,0,3,5,1,4
10.8751624,106.6292251,0,3,1,0,0,0,0,0,0,5,1,0,0,1,0,0
